"","pair","study","cond","trial","down.time","down.HR1","down.HR2","down.Resp1","down.Resp2"
"1",4,1,"SelfPa",2,15.449792,-2.01583061424935,-0.134530257556406,1.06250536789452,-0.353730821132418
"2",4,1,"SelfPa",2,15.451458,-1.45245985209677,-0.134530257556406,1.1041869552737,-0.134154807888006
"3",4,1,"SelfPa",2,15.453124,-1.45245985209677,-0.134530257556406,1.13654011240021,0.16112858869285
"4",4,1,"SelfPa",2,15.454793,-1.45245985209677,-0.134530257556406,1.16111070657865,0.435880778229383
"5",4,1,"SelfPa",2,15.45646,-1.45245985209677,-0.134530257556406,1.17573503587605,0.728431559946187
"6",4,1,"SelfPa",2,15.458123,-1.45245985209677,0.0971842429998752,1.1775900592757,0.998729901347979
"7",4,1,"SelfPa",2,15.459792,-1.45245985209677,0.279245636294094,1.17025775020514,1.2378565650493
"8",4,1,"SelfPa",2,15.461458,-1.45245985209677,0.279245636294094,1.1623640890339,1.42497150958603
"9",4,1,"SelfPa",2,15.463126,-1.45245985209677,0.279245636294094,1.16108543922191,1.50645909285356
"10",4,1,"SelfPa",2,15.464792,-1.45245985209677,0.279245636294094,1.16877774300391,1.47636745908199
"11",4,1,"SelfPa",2,15.466459,-0.625767051717851,0.279245636294094,1.17875183670911,1.3944952206454
"12",4,1,"SelfPa",2,15.468124,0.667265277079948,0.279245636294094,1.18320366711182,1.30602336304371
"13",4,1,"SelfPa",2,15.469792,0.667265277079948,0.279245636294094,1.179292740485,1.24445910601593
"14",4,1,"SelfPa",2,15.471458,0.667265277079948,0.279245636294094,1.17314439376072,1.18966232565014
"15",4,1,"SelfPa",2,15.473126,0.667265277079948,0.190465265107953,1.16677181009908,1.10404010106305
"16",4,1,"SelfPa",2,15.474792,0.667265277079948,-0.00714265785474663,1.15738229536027,0.98336692290807
"17",4,1,"SelfPa",2,15.476457,0.667265277079948,-0.00714265785474663,1.15199049323818,0.868186001145181
"18",4,1,"SelfPa",2,15.478124,0.667265277079948,-0.00714265785474663,1.14139209611397,0.761615190167783
"19",4,1,"SelfPa",2,15.479792,0.667265277079948,-0.00714265785474663,1.14131924624352,0.664485596415949
"20",4,1,"SelfPa",2,15.481459,0.667265277079948,-0.00714265785474663,1.14414523946,0.591766777756005
"21",4,1,"SelfPa",2,15.483125,0.836075168624365,-0.00714265785474663,1.1131316429728,0.546537582531168
"22",4,1,"SelfPa",2,15.484792,1.10011115283486,-0.00714265785474663,1.05767335494381,0.523826711558931
"23",4,1,"SelfPa",2,15.486457,1.10011115283486,-0.00714265785474663,1.03923161428833,0.533950607707762
"24",4,1,"SelfPa",2,15.488125,1.10011115283486,-0.00714265785474663,1.03882642487181,0.556797488540381
"25",4,1,"SelfPa",2,15.489792,1.10011115283486,-0.211133001204113,1.03788827656992,0.53331321670793
"26",4,1,"SelfPa",2,15.49146,1.10011115283486,-0.275551004367071,1.03075788927973,0.477901251033796
"27",4,1,"SelfPa",2,15.493124,1.10011115283486,-0.275551004367071,1.0204749867971,0.432211725980751
"28",4,1,"SelfPa",2,15.494792,1.10011115283486,-0.275551004367071,1.01091272495787,0.375047702029976
"29",4,1,"SelfPa",2,15.496458,1.10011115283486,-0.275551004367071,1.00347404986668,0.297932448635001
"30",4,1,"SelfPa",2,15.498125,1.10011115283486,-0.275551004367071,0.999518623170004,0.220138606838875
"31",4,1,"SelfPa",2,15.499792,-0.0161999910805451,-0.275551004367071,0.997473747277217,0.168975232743268
"32",4,1,"SelfPa",2,15.50146,-1.7622251136149,-0.275551004367071,0.996358249916454,0.151358814887267
"33",4,1,"SelfPa",2,15.503123,-1.7622251136149,-0.275551004367071,0.993662891539184,0.163719057913345
"34",4,1,"SelfPa",2,15.504791,-1.7622251136149,-0.275551004367071,0.990740257195402,0.186045858076836
"35",4,1,"SelfPa",2,15.506459,-1.7622251136149,-0.545028532087933,0.990707218606955,0.207116137500113
"36",4,1,"SelfPa",2,15.508125,-1.7622251136149,-0.608239310195296,0.991474182737695,0.226693084170633
"37",4,1,"SelfPa",2,15.509792,-1.7622251136149,-0.608239310195296,0.987978951885346,0.243581096909705
"38",4,1,"SelfPa",2,15.511458,-1.7622251136149,-0.608239310195296,0.977171730043104,0.241048917629373
"39",4,1,"SelfPa",2,15.513124,-1.7622251136149,-0.608239310195296,0.96308413671017,0.200286134285779
"40",4,1,"SelfPa",2,15.514791,-1.7622251136149,-0.608239310195296,0.948653176496786,0.0992921658542396
"41",4,1,"SelfPa",2,15.51646,-0.893945552979951,-0.608239310195296,0.937514439987822,-0.0408648995931009
"42",4,1,"SelfPa",2,15.518125,0.464132734167026,-0.608239310195296,0.930996069755877,-0.17085526449946
"43",4,1,"SelfPa",2,15.519793,0.464132734167026,-0.608239310195296,0.929081003822952,-0.263360815178481
"44",4,1,"SelfPa",2,15.521457,0.464132734167026,-0.608239310195296,0.927023754740011,-0.312122030161039
"45",4,1,"SelfPa",2,15.523124,0.464132734167026,-0.696230407782623,0.929021308607296,-0.31491308105533
"46",4,1,"SelfPa",2,15.524793,0.464132734167026,-0.733940878177192,0.931634482953122,-0.284104583282798
"47",4,1,"SelfPa",2,15.526459,0.464132734167026,-0.733940878177192,0.93332049291674,-0.244662162042454
"48",4,1,"SelfPa",2,15.528125,0.464132734167026,-0.733940878177192,0.933374674465204,-0.210490962909819
"49",4,1,"SelfPa",2,15.529792,0.464132734167026,-0.733940878177192,0.933542993266001,-0.197948399469396
"50",4,1,"SelfPa",2,15.531457,0.464132734167026,-0.733940878177192,0.935301505782452,-0.206893640888307
"51",4,1,"SelfPa",2,15.533124,0.394714153325479,-0.733940878177192,0.932367496786667,-0.238032156141613
"52",4,1,"SelfPa",2,15.534793,0.286136373034855,-0.733940878177192,0.928428697920972,-0.270886937603039
"53",4,1,"SelfPa",2,15.536459,0.286136373034855,-0.733940878177192,0.925608305201094,-0.290438756780555
"54",4,1,"SelfPa",2,15.538124,0.286136373034855,-0.733940878177192,0.921374416603901,-0.300854833080582
"55",4,1,"SelfPa",2,15.539791,0.286136373034855,-0.673749545781711,0.910499554655484,-0.318796447444862
"56",4,1,"SelfPa",2,15.541458,0.286136373034855,-0.647953260469363,0.890966281554905,-0.341622145216519
"57",4,1,"SelfPa",2,15.543125,0.286136373034855,-0.647953260469363,0.860465629775319,-0.375679101910037
"58",4,1,"SelfPa",2,15.544792,0.286136373034855,-0.647953260469363,0.815927311570438,-0.414639864171136
"59",4,1,"SelfPa",2,15.546459,0.286136373034855,-0.647953260469363,0.770509541741171,-0.450053267216576
"60",4,1,"SelfPa",2,15.548124,0.286136373034855,-0.647953260469363,0.73368879467502,-0.479575295783396
"61",4,1,"SelfPa",2,15.549791,0.0635180267407388,-0.647953260469363,0.70773500808147,-0.507387047835196
"62",4,1,"SelfPa",2,15.551459,-0.284679899514162,-0.647953260469363,0.687253210565155,-0.552196672362916
"63",4,1,"SelfPa",2,15.553126,-0.284679899514162,-0.647953260469363,0.666828416552952,-0.610930288085911
"64",4,1,"SelfPa",2,15.554792,-0.284679899514162,-0.601789316818612,0.646440611867105,-0.694560428402157
"65",4,1,"SelfPa",2,15.556458,-0.284679899514162,-0.292846001617435,0.625468836020691,-0.772031265041137
"66",4,1,"SelfPa",2,15.558124,-0.284679899514162,-0.292846001617435,0.606384688015352,-0.807738016958378
"67",4,1,"SelfPa",2,15.559792,-0.284679899514162,-0.292846001617435,0.590011267191895,-0.805185385067462
"68",4,1,"SelfPa",2,15.561459,-0.284679899514162,-0.292846001617435,0.582529611545434,-0.815406577206642
"69",4,1,"SelfPa",2,15.563126,-0.284679899514162,-0.292846001617435,0.579159241376884,-0.839892004327162
"70",4,1,"SelfPa",2,15.564791,-0.284679899514162,-0.292846001617435,0.572976814111298,-0.855079382496203
"71",4,1,"SelfPa",2,15.566458,-0.460532255781635,-0.292846001617435,0.560638095230904,-0.844739565215638
"72",4,1,"SelfPa",2,15.568123,-0.735583377123066,-0.292846001617435,0.545852089582154,-0.812521882573893
"73",4,1,"SelfPa",2,15.569793,-0.735583377123066,-0.292846001617435,0.533458885250381,-0.766989988712419
"74",4,1,"SelfPa",2,15.571459,-0.735583377123066,-0.106035136001386,0.523003018593811,-0.725902593220847
"75",4,1,"SelfPa",2,15.573124,-0.735583377123066,-0.0622153033260157,0.514667395753211,-0.711394387813259
"76",4,1,"SelfPa",2,15.574792,-0.735583377123066,-0.0622153033260157,0.50694092460051,-0.724974921240803
"77",4,1,"SelfPa",2,15.576458,-0.735583377123066,-0.0622153033260157,0.492995948564614,-0.782584081651924
"78",4,1,"SelfPa",2,15.578124,-0.735583377123066,-0.0622153033260157,0.470391996985427,-0.891715851654546
"79",4,1,"SelfPa",2,15.579793,-0.735583377123066,-0.0622153033260157,0.443644329145714,-1.06497955785364
"80",4,1,"SelfPa",2,15.58146,-0.735583377123066,-0.0622153033260157,0.419122967239678,-1.25039182255928
"81",4,1,"SelfPa",2,15.583123,-0.765592325374394,-0.0622153033260157,0.401097573579202,-1.4030929123478
"82",4,1,"SelfPa",2,15.584792,-0.812529398280317,0.0919686092517736,0.390468091528154,-1.54903207689721
"83",4,1,"SelfPa",2,15.586458,-0.812529398280317,0.638620662936666,0.38815178691662,-1.68179201745675
"84",4,1,"SelfPa",2,15.588126,-0.812529398280317,0.638620662936666,0.390151641763127,-1.77677131138586
"85",4,1,"SelfPa",2,15.589792,-0.812529398280317,0.638620662936666,0.389340698538963,-1.84949115267633
"86",4,1,"SelfPa",2,15.591459,-0.812529398280317,0.638620662936666,0.384455025016219,-1.87570789328276
"87",4,1,"SelfPa",2,15.593124,-0.812529398280317,0.638620662936666,0.381782155454738,-1.80356116335886
"88",4,1,"SelfPa",2,15.594792,-0.812529398280317,0.638620662936666,0.324376935101345,-1.60930343675595
"89",4,1,"SelfPa",2,15.596458,-0.812529398280317,0.638620662936666,0.163676242360219,-1.24041021814408
"90",4,1,"SelfPa",2,15.598126,-0.812529398280317,0.638620662936666,0.0818639275972294,-0.729824819570489
"91",4,1,"SelfPa",2,15.599792,-0.812529398280317,0.774507970045572,0.0516296250162218,-0.180725840457205
"92",4,1,"SelfPa",2,15.601457,-0.812529398280317,0.812835159230135,0.0505512472259216,0.28165100188981
"93",4,1,"SelfPa",2,15.603124,-0.812529398280317,0.812835159230135,0.0602760102958476,0.583042278441321
"94",4,1,"SelfPa",2,15.604792,-0.812529398280317,0.812835159230135,0.070658115373219,0.7168759810565
"95",4,1,"SelfPa",2,15.606459,-0.812529398280317,0.812835159230135,0.0739173004891912,0.738752677697075
"96",4,1,"SelfPa",2,15.608125,-0.812529398280317,0.812835159230135,0.0552570102223561,0.712966026273208
"97",4,1,"SelfPa",2,15.609792,-0.812529398280317,0.812835159230135,0.021653336010952,0.66749066927099
"98",4,1,"SelfPa",2,15.611457,-0.812529398280317,0.812835159230135,-0.00555096766749767,0.606420927149115
"99",4,1,"SelfPa",2,15.613125,-0.812529398280317,0.867245510366484,-0.0248814072789551,0.54138776127628
"100",4,1,"SelfPa",2,15.614792,-0.812529398280317,0.936495048176383,-0.0446741700551497,0.499796647204048
"101",4,1,"SelfPa",2,15.61646,-0.691608266852678,0.936495048176383,-0.0739815687421638,0.478805256421594
"102",4,1,"SelfPa",2,15.618124,-0.502475215132524,0.936495048176383,-0.101475795802538,0.457111464555666
"103",4,1,"SelfPa",2,15.619792,-0.502475215132524,0.936495048176383,-0.126227863436569,0.426447303777825
"104",4,1,"SelfPa",2,15.621458,-0.502475215132524,0.936495048176383,-0.150019380782328,0.384967948613425
"105",4,1,"SelfPa",2,15.623125,-0.502475215132524,0.936495048176383,-0.177528412256184,0.325132229360123
