"","Parameter","Condition","Control","p-value","t-value","TruePairMean","ControlMean"
"t","RR.HR","All","Shuffle",0.00371575342642381,3.0454829914801,10.2267269639371,8.15833475918938
"t1","RR.HR","All","Surrogate",0.842436952673782,-0.20004339793025,10.2267269639371,10.3459699947915
"t2","RR.HR","Synchronous","Shuffle",0.172509790193543,1.43064758970101,10.1512544075598,8.37459465776752
"t3","RR.HR","Synchronous","Surrogate",0.842436952673782,-0.20004339793025,10.2267269639371,10.3459699947915
"t4","RR.HR","TurnTaking","Shuffle",0.0945228175826899,1.78289886177413,9.7537172507301,7.87340584647829
"t5","RR.HR","TurnTaking","Surrogate",0.842436952673782,-0.20004339793025,10.2267269639371,10.3459699947915
"t6","RR.HR","Conversation","Shuffle",0.0737027648524584,1.92076646510903,10.7752092335214,8.22700377332233
"t7","RR.HR","Conversation","Surrogate",0.842436952673782,-0.20004339793025,10.2267269639371,10.3459699947915
"t8","TT.HR","All","Shuffle",5.16014518416362e-11,10.6835848008047,13.8071415548974,2.1833956383491
"t9","TT.HR","All","Surrogate",0.0255572111047842,-2.33668965619774,13.8071415548974,16.5185115096656
"t10","TT.HR","Synchronous","Shuffle",1.88875199997215e-06,12.1730151784454,10.9115263537603,2.14564401806312
"t11","TT.HR","Synchronous","Surrogate",0.0255572111047842,-2.33668965619774,13.8071415548974,16.5185115096656
"t12","TT.HR","TurnTaking","Shuffle",0.00147045481772481,4.73338103638018,14.3187660867113,2.203007099831
"t13","TT.HR","TurnTaking","Surrogate",0.0255572111047842,-2.33668965619774,13.8071415548974,16.5185115096656
"t14","TT.HR","Conversation","Shuffle",2.66435314585423e-05,8.54597199359277,16.1911322242207,2.20153579715316
"t15","TT.HR","Conversation","Surrogate",0.0255572111047842,-2.33668965619774,13.8071415548974,16.5185115096656
"t16","DET.HR","All","Shuffle",5.67721290319266e-40,106.861781837886,97.4022126352565,15.4185781786913
"t17","DET.HR","All","Surrogate",0.728396200758485,0.349965328050101,97.4022126352565,97.3267693905145
"t18","DET.HR","Synchronous","Shuffle",1.32907883427524e-12,58.305224760821,97.2308666741306,15.8922302415658
"t19","DET.HR","Synchronous","Surrogate",0.728396200758485,0.349965328050101,97.4022126352565,97.3267693905145
"t20","DET.HR","TurnTaking","Shuffle",2.15699467215972e-15,65.8470425744817,97.3125925690472,14.9977245265543
"t21","DET.HR","TurnTaking","Surrogate",0.728396200758485,0.349965328050101,97.4022126352565,97.3267693905145
"t22","DET.HR","Conversation","Shuffle",4.51278065202333e-12,55.9174091177777,97.6631786625919,15.3657797679539
"t23","DET.HR","Conversation","Surrogate",0.728396200758485,0.349965328050101,97.4022126352565,97.3267693905145
"t24","L.HR","All","Shuffle",7.40839262778827e-17,19.1523747877307,8.98503005066385,2.08876300764325
"t25","L.HR","All","Surrogate",0.538589155603,-0.619947226099742,8.98503005066385,9.23829272407783
"t26","L.HR","Synchronous","Shuffle",1.3580168564037e-06,12.7252137081378,8.16470535377454,2.09116703387338
"t27","L.HR","Synchronous","Surrogate",0.538589155603,-0.619947226099742,8.98503005066385,9.23829272407783
"t28","L.HR","TurnTaking","Shuffle",2.42220369889591e-05,8.67534774669089,8.9418913122597,2.08508324160686
"t29","L.HR","TurnTaking","Surrogate",0.538589155603,-0.619947226099742,8.98503005066385,9.23829272407783
"t30","L.HR","Conversation","Shuffle",2.27323389875502e-07,16.0361730888118,9.84849348595731,2.09003874744951
"t31","L.HR","Conversation","Surrogate",0.538589155603,-0.619947226099742,8.98503005066385,9.23829272407783
"t32","maxL.HR","All","Shuffle",3.82466825891657e-16,17.8699117972398,96.037037037037,5.7037037037037
"t33","maxL.HR","All","Surrogate",0.381528995726404,-0.884820721052092,96.037037037037,101.027777777778
"t34","maxL.HR","Synchronous","Shuffle",1.26849947915449e-06,12.7779824760481,90.6666666666667,5.66666666666667
"t35","maxL.HR","Synchronous","Surrogate",0.381528995726404,-0.884820721052092,96.037037037037,101.027777777778
"t36","maxL.HR","TurnTaking","Shuffle",2.01070342257582e-05,8.89072292862589,88.5555555555556,5.66666666666667
"t37","maxL.HR","TurnTaking","Surrogate",0.381528995726404,-0.884820721052092,96.037037037037,101.027777777778
"t38","maxL.HR","Conversation","Shuffle",3.87496677387147e-06,11.0719677452063,108.888888888889,5.77777777777778
"t39","maxL.HR","Conversation","Surrogate",0.381528995726404,-0.884820721052092,96.037037037037,101.027777777778
