"","Parameter","Condition","Control","p-value","t-value","TruePairMean","ControlMean"
"t","RR.RE","All","Shuffle",0.863112464285789,0.173269660147957,5.086571913163,5.00732075233965
"t1","RR.RE","All","Surrogate",0.953170143932716,0.0591547403408251,5.086571913163,5.06581651780157
"t2","RR.RE","Synchronous","Shuffle",0.937608951206361,-0.0795153607411499,4.71603083591747,4.7999570497414
"t3","RR.RE","Synchronous","Surrogate",0.953170143932716,0.0591547403408251,5.086571913163,5.06581651780157
"t4","RR.RE","TurnTaking","Shuffle",0.769584010979873,0.298017496639712,5.05705241826262,4.83593011413652
"t5","RR.RE","TurnTaking","Surrogate",0.953170143932716,0.0591547403408251,5.086571913163,5.06581651780157
"t6","RR.RE","Conversation","Shuffle",0.859160597549786,0.180340804509942,5.48663248530892,5.38607509314105
"t7","RR.RE","Conversation","Surrogate",0.953170143932716,0.0591547403408251,5.086571913163,5.06581651780157
"t8","TT.RE","All","Shuffle",6.79910192393275e-12,11.722648752859,4.89467099658456,2.07823439306127
"t9","TT.RE","All","Surrogate",0.917308004191917,-0.10457907821363,4.89467099658456,4.92172629828662
"t10","TT.RE","Synchronous","Shuffle",0.000316807046773396,6.01066486550247,4.83150927713237,2.0816384388833
"t11","TT.RE","Synchronous","Surrogate",0.917308004191917,-0.10457907821363,4.89467099658456,4.92172629828662
"t12","TT.RE","TurnTaking","Shuffle",0.000654731634366195,5.3801792261677,4.7264531816303,2.07409235198931
"t13","TT.RE","TurnTaking","Surrogate",0.917308004191917,-0.10457907821363,4.89467099658456,4.92172629828662
"t14","TT.RE","Conversation","Shuffle",1.09517747644142e-05,9.64895827663797,5.12605053099101,2.07897238831119
"t15","TT.RE","Conversation","Surrogate",0.917308004191917,-0.10457907821363,4.89467099658456,4.92172629828662
"t16","DET.RE","All","Shuffle",2.51472775762506e-24,31.4772376490565,83.9422720020449,9.68889716823075
"t17","DET.RE","All","Surrogate",0.836937006616421,0.207527843715294,83.9422720020449,83.4459328989298
"t18","DET.RE","Synchronous","Shuffle",1.10131054633601e-07,14.3293098887068,80.196449558218,9.3320804821863
"t19","DET.RE","Synchronous","Surrogate",0.836937006616421,0.207527843715294,83.9422720020449,83.4459328989298
"t20","DET.RE","TurnTaking","Shuffle",6.00500058842305e-08,16.7222724369447,83.3557739434959,9.29821909730274
"t21","DET.RE","TurnTaking","Surrogate",0.836937006616421,0.207527843715294,83.9422720020449,83.4459328989298
"t22","DET.RE","Conversation","Shuffle",2.88635095718789e-11,31.9445574347543,88.2745925044208,10.4363919252032
"t23","DET.RE","Conversation","Surrogate",0.836937006616421,0.207527843715294,83.9422720020449,83.4459328989298
"t24","L.RE","All","Shuffle",2.29231615719627e-13,13.6332092967794,3.66449289843773,2.05224138606017
"t25","L.RE","All","Surrogate",0.818461066824986,0.23137736975238,3.66449289843773,3.63550362713716
"t26","L.RE","Synchronous","Shuffle",6.84575251101061e-05,7.4987054493885,3.79745044057284,2.05144200577427
"t27","L.RE","Synchronous","Surrogate",0.818461066824986,0.23137736975238,3.66449289843773,3.63550362713716
"t28","L.RE","TurnTaking","Shuffle",0.000256470086810146,6.20683137430836,3.55747026684551,2.05081094090715
"t29","L.RE","TurnTaking","Surrogate",0.818461066824986,0.23137736975238,3.66449289843773,3.63550362713716
"t30","L.RE","Conversation","Shuffle",3.22803102480148e-06,11.3466065734682,3.63855798789485,2.0544712114991
"t31","L.RE","Conversation","Surrogate",0.818461066824986,0.23137736975238,3.66449289843773,3.63550362713716
"t32","maxL.RE","All","Shuffle",6.71747400976463e-12,11.7047167692816,37.2592592592593,4.66666666666667
"t33","maxL.RE","All","Surrogate",0.780250572975175,0.281250591573382,37.2592592592593,36.4259259259259
"t34","maxL.RE","Synchronous","Shuffle",0.00042951892499245,5.73065361712596,36.1111111111111,4.55555555555556
"t35","maxL.RE","Synchronous","Surrogate",0.780250572975175,0.281250591573382,37.2592592592593,36.4259259259259
"t36","maxL.RE","TurnTaking","Shuffle",0.000174209311880022,6.55171428598284,36,4.44444444444444
"t37","maxL.RE","TurnTaking","Surrogate",0.780250572975175,0.281250591573382,37.2592592592593,36.4259259259259
"t38","maxL.RE","Conversation","Shuffle",6.30595575271618e-05,7.56989506256712,39.6666666666667,5
"t39","maxL.RE","Conversation","Surrogate",0.780250572975175,0.281250591573382,37.2592592592593,36.4259259259259
