"","Group1","Group2","Group1Participant","Group2Participant","Condition","RR.HR","DET.HR","NRLINE.HR","maxL.HR","L.HR","ENTR.HR","rENTR.HR","LAM.HR","TT.HR","RR.RE","DET.RE","NRLINE.RE","maxL.RE","L.RE","ENTR.RE","rENTR.RE","LAM.RE","TT.RE"
"2",1,4,1,2,1,4.70237256756485,97.3241562949491,14433,145,11.3451118963486,2.82596183016252,0.584325290488256,97.9292226858291,15.3309760863497,6.9971328262751,93.5848775768401,47702,62,5.2723156261792,2.28625037369198,0.565476473642762,95.4547145940314,6.08918059248006
"3",1,4,2,1,1,8.31586496644956,98.905331509446,17382,168,16.9299275112185,3.20480127327316,0.634632209051579,99.6044136280681,27.4023116042534,6.20847779424462,89.5219123505976,50040,49,4.26588729016787,1.95608637867651,0.530265735979806,96.9389809184315,6.13360399087194
"6",1,8,1,2,1,5.51560684427553,96.5375274427189,20993,154,9.06968989663221,2.4515261418816,0.501298798430171,96.8777411029818,9.80404330648058,9.96942364469009,96.2624612932307,70427,55,5.23069277407812,2.28892226612891,0.582152536744855,97.8217071481767,5.95689257355632
"7",1,8,2,1,1,4.84133076610078,98.7615383726707,12717,156,13.4445230793426,3.05084119490409,0.619176805142875,99.5783223003963,17.5084298192159,4.82068010963409,81.1290165688531,41623,35,3.60680393051918,1.6903734052253,0.496993621816567,89.6620299817343,3.77949383812843
"10",1,10,1,2,1,7.15866813208128,98.9706020548803,15693,193,16.1067354871599,3.13517392593296,0.608382791550244,99.3574583385541,19.1495736170855,2.48368763921087,68.2813501950025,20416,23,3.18152429467085,1.49079883808797,0.506309979128863,71.1448905147855,3.41290973272819
"11",1,10,2,1,1,2.12140349047859,97.3217235046179,8367,149,8.80315525277877,2.63640989850029,0.576300865975754,98.4752190055891,10.1138553399376,5.91419845741763,91.1503721558552,46953,47,4.39741869529103,2.02746217042178,0.539046609607985,97.6381567910718,8.43573117705393
"14",1,15,1,2,1,3.59124686658308,97.7849064556162,12523,146,10.0042322127286,2.68898380625553,0.561668604506657,98.2766291240312,10.9527661795407,6.33095313376697,91.2306169580996,49170,46,4.49900345739272,2.05693672374214,0.569643723148465,93.5932860442098,4.99779779338898
"15",1,15,2,1,1,2.27080402434023,97.8077592485157,8830,147,8.97361268403171,2.63896616116091,0.56251768732763,98.749583400195,9.85585807564371,5.10541449492712,83.1211868610675,43167,33,3.7652836657632,1.77705111568132,0.512748566399927,90.2874588960883,4.35794332543444
"18",1,17,1,2,1,2.066130613541,96.5607577080674,8457,120,8.49887667021402,2.54119080944171,0.555486635414302,97.2311412641902,9.45200470158025,1.95131527490104,64.7919621436051,14033,23,3.48328938929666,1.66140365574975,0.554590164954473,67.3899500284983,3.69269320162696
"19",1,17,2,1,1,4.65679498410605,98.5146065674418,13233,145,12.4896093100582,2.93289959067576,0.604468527841885,99.3943981831946,15.7238095238095,4.47623338706307,82.9726746907196,37160,40,3.86423573735199,1.81549286758112,0.514834729718606,91.2881436239982,5.13742195629553
